Material ID,Formula
mp-1113309,Rb2CuAsF6
mp-1112407,Rb2CrHgF6
mp-1113528,Rb2CrAuF6
mp-1113792,Rb2CrAgF6
mp-1112406,Rb2CoHgF6
mp-1113527,Rb2CoAuF6
mp-1111049,Rb2CoAgF6
mp-1113307,Rb2CeCuF6
mp-1113306,Rb2CeCuCl6
mp-1113746,Rb2CeAgI6
mp-1113274,Rb2CeAgF6
mp-1113724,Rb2CeAgCl6
mp-1113799,Rb2CeAgBr6
mp-1113618,Rb2BiAuI6
mp-1113276,Rb2BiAuF6
mp-1113667,Rb2BiAuCl6
mp-1113666,Rb2BiAuBr6
mp-1113530,Rb2AsAuI6
mp-1113529,Rb2AsAuF6
mp-1113340,Rb2AsAuCl6
mp-1113532,Rb2AsAuBr6
mp-1114469,Rb2AlTlI6
mp-1114468,Rb2AlTlF6
mp-1114467,Rb2AlTlCl6
mp-1114466,Rb2AlTlBr6
mp-1114521,Rb2AlInI6
mp-1114386,Rb2AlInF6
mp-1114385,Rb2AlInCl6
mp-1114520,Rb2AlInBr6
mp-1112411,Rb2AlHgF6
mp-1113345,Rb2AlHgCl6
mp-1113563,Rb2AlHgBr6
mp-1113880,Rb2AlCuF6
mp-1113665,Rb2AlAuI6
mp-1113531,Rb2AlAuF6
mp-1113285,Rb2AlAuCl6
mp-1113664,Rb2AlAuBr6
mp-1113857,Rb2AlAgF6
mp-1113867,Rb2AlAgCl6
mp-1113743,Rb2AlAgBr6
mp-1113723,Rb2AgSbI6
mp-1113679,Rb2AgSbF6
mp-1113695,Rb2AgSbCl6
mp-1113722,Rb2AgSbBr6
mp-1113678,Rb2AgRuF6
mp-1113876,Rb2AgRhF6
mp-1113712,Rb2AgPdF6
mp-1113718,Rb2AgMoI6
mp-1113729,Rb2AgMoF6
mp-1113717,Rb2AgMoCl6
mp-1113728,Rb2AgMoBr6
mp-1113749,Rb2AgIrF6
mp-1113745,Rb2AgBiI6
mp-1113798,Rb2AgBiF6
mp-1113806,Rb2AgBiCl6
mp-1113805,Rb2AgBiBr6
mp-1113875,Rb2AgAuF6
mp-1113858,Rb2AgAuCl6
mp-1113744,Rb2AgAuBr6
mp-1111050,Rb2AgAsF6
mp-1113376,Rb2AgAsCl6
mp-1113437,Rb2AgAsBr6
mp-1111792,NaLi2VF6
mp-1111096,NaLi2TiF6
mp-1111546,NaLi2TaF6
mp-1111547,NaLi2RuF6
mp-1111095,NaLi2RhF6
mp-1111794,NaLi2NbF6
mp-1111098,NaLi2MoF6
mp-1111191,NaLi2MnF6
mp-1111548,NaLi2IrF6
mp-1111142,NaLi2GaF6
mp-1111815,NaLi2FeF6
mp-1111816,NaLi2CrF6
mp-1111550,NaLi2CoF6
mp-1111887,NaLi2AsF6
mp-1111553,NaLi2AlF6
mp-1111061,Na2YHgF6
mp-1110996,Na2YCuF6
mp-1113315,Na2YCuCl6
mp-1113435,Na2YCuBr6
mp-1111092,Na2YAgF6
mp-1114148,Na2VHgF6
mp-1111085,Na2VAuF6
mp-1111522,Na2VAgF6
mp-1111523,Na2TmAgCl6
mp-1113888,Na2TlVF6
mp-1111037,Na2TlNiF6
mp-1111023,Na2TlHgF6
mp-1113887,Na2TlGaF6
mp-1114130,Na2TlCuF6
mp-1110992,Na2TlCuCl6
mp-1110993,Na2TlCuBr6
mp-1113895,Na2TlCrF6
mp-1113894,Na2TlCoF6
mp-1113291,Na2TlAsF6
mp-1111749,Na2TlAgF6
mp-1114029,Na2TiHgF6
mp-1111699,Na2TiAuF6
mp-1111524,Na2TiAgF6
mp-1114048,Na2TaHgF6
mp-1111703,Na2TaAuF6
mp-1114165,Na2TaAgF6
mp-1111062,Na2ScHgF6
mp-1111065,Na2ScCuF6
mp-1113434,Na2ScCuCl6
mp-1111084,Na2ScAuF6
mp-1111758,Na2ScAgF6
mp-1111525,Na2ScAgCl6
mp-1111512,Na2SbAuF6
mp-1111087,Na2RuAuF6
mp-1111513,Na2RhAuF6
mp-1111747,Na2PdAuF6
mp-1112405,Na2NiHgF6
mp-1111091,Na2NbAgF6
mp-1111516,Na2MoAuF6
mp-1111030,Na2MnTlF6
mp-1114051,Na2MnHgF6
mp-1111517,Na2MnAuF6
mp-1111530,Na2MnAgF6
mp-1111531,Na2LuAgCl6
mp-1111028,Na2LiYF6
mp-1113742,Na2LiYCl6
mp-1114055,Na2LiYBr6
mp-1114341,Na2LiVF6
mp-1111027,Na2LiTlF6
mp-1113898,Na2LiTlCl6
mp-1113436,Na2LiTlBr6
mp-1113901,Na2LiTiF6
mp-1113900,Na2LiScF6
mp-1113903,Na2LiScCl6
mp-1113902,Na2LiSbF6
mp-1113317,Na2LiSbCl6
mp-1110634,Na2LiRuF6
mp-1114340,Na2LiRhF6
mp-1114339,Na2LiPdF6
mp-1114109,Na2LiNiF6
mp-1110637,Na2LiNbF6
mp-1114338,Na2LiMnF6
mp-1114337,Na2LiIrF6
mp-1113913,Na2LiInF6
mp-1113912,Na2LiInCl6
mp-1114336,Na2LiGaF6
mp-1114335,Na2LiCrF6
mp-1113838,Na2LiBiI6
mp-1113941,Na2LiBiF6
mp-1113837,Na2LiBiCl6
mp-1113940,Na2LiBiBr6
mp-1111054,Na2LiAuF6
mp-1111055,Na2LiAsF6
mp-1111056,Na2LiAlF6
mp-1111520,Na2IrAuF6
mp-1114054,Na2InHgF6
mp-1114053,Na2InHgBr6
mp-1113969,Na2InGaF6
mp-1111083,Na2InCuF6
mp-1111118,Na2InCuCl6
mp-1111503,Na2InCuBr6
mp-1113968,Na2InAsF6
mp-1111533,Na2InAgF6
mp-1111534,Na2InAgCl6
mp-1111184,Na2InAgBr6
mp-1113289,Na2HgSbF6
mp-1114047,Na2HgRhF6
mp-1114052,Na2HgPdF6
mp-1111063,Na2HgMoF6
mp-1114058,Na2HgAuF6
mp-1113836,Na2HgAsI6
mp-1114063,Na2HgAsF6
mp-1111068,Na2HgAsCl6
mp-1113835,Na2HgAsBr6
mp-1114057,Na2GaHgF6
mp-1114056,Na2GaHgCl6
mp-1111064,Na2GaHgBr6
mp-1111506,Na2GaCuF6
mp-1111521,Na2GaAuF6
mp-1111188,Na2GaAgI6
mp-1111535,Na2GaAgF6
mp-1111121,Na2GaAgCl6
mp-1111537,Na2GaAgBr6
mp-1114059,Na2FeHgF6
