Bond,Energy
F-Fe,447
As-Cl,448
B-C,448
Cl-Er,448.6
S-V,449.4
Cl-Gd,451
Mo-Nb,452
C-Th,453
C-U,455
C-Ge,455.7
Au-La,457
Ce-Cl,457
Ir-Y,457
Es-O,460
N-Sb,460
Cr-O,461
B-Se,462
Ir-Si,462.8
C-La,463
Cl-Ga,463
F-Mg,463
F-Mo,464
N-Sc,464
Ir-Nb,465
N-S,467
S-Sn,467
Cl-Li,469
N-Pu,469
Cl-Tb,470.1
Nd-S,471.5
Eu-O,473
Pt-Y,474
B-Rh,475.8
F-Sn,476
N-Ti,476
Cl-V,477
N-Y,477
F-Na,477.3
B-Pt,477.8
S-Sc,478.2
Br-Y,481
C-Mo,482
As-O,484
Ge-Se,484.7
La-Se,485.7
As-N,489
Cl-Th,489
P-P,489.1
F-K,489.2
Pr-S,492.5
Ce-Ru,494
F-Rb,494
Ce-Se,494.5
C-Zr,495.8
Cf-O,498
O-O,498.36
Pt-Si,501
Al-O,501.9
Al-Cl,502
Mo-O,502
La-Pt,505
C-P,507.5
Lu-S,508.4
F-Tm,510
B-Ir,512.2
Nb-Nb,513
Rh-Th,513
C-F,513.8
O-Tm,514
S-Tb,515
F-In,516
Cs-F,517.1
O-S,517.9
Ce-N,519
La-N,519
Rh-U,519
Cl-La,521.6
Cl-Y,523
Cr-F,523
F-Ge,523
N-V,523
C-Nb,523.8
Ce-Os,524
Gd-S,526.8
O-Ru,528
O-Sn,528
S-U,528.4
S-Y,528.4
Ca-F,529
Cl-Zr,530
Dy-F,531
N-U,531
Ge-S,534
Hf-N,535
F-Pu,538
F-Sr,538
Se-Si,538
C-Hf,540
F-Ho,540
Cl-Ta,544
Eu-F,544
Ce-Rh,545
F-Nd,545.2
Br-Eu,548
O-Tc,548
Ce-Pt,550
La-Rh,550
Pt-Th,551
Am-O,553
F-Tb,561
Ba-O,562
C-Tc,564
Er-F,565
F-Sm,565
N-Zr,565
Ce-S,569
F-Ti,569
F-H,569.68
S-Zr,572
Be-F,573
F-Ta,573
O-Sm,573
La-S,573.4
Ir-Th,574
Ce-Ir,575
O-Os,575
D-F,576.236
F-Si,576.4
B-S,577
F-Li,577
Ir-La,577
N-Th,577
C-Pt,577.8
F-T,579.009
C-Rh,580
Ba-F,580.6
Ce-F,582
F-Pr,582
F-Ga,584
O-P,589
F-Gd,590
F-V,590
C-Se,590.4
Ru-Th,592
Bk-O,598
F-Sc,599.1
Er-O,606
Ho-O,606
N-Ta,607
C-Os,608
Dy-O,615
S-Si,617
N-P,617.1
C-C,618.3
O-Re,627
F-Zr,627.2
C-Ir,631
N-O,631.62
O-V,637
C-Ru,648
F-U,648
F-Hf,650
F-Th,652
O-Pu,656.1
Ge-O,657.5
F-La,659
Lr-O,665
W-W,666
O-Ti,666.5
Lu-O,669
S-Ta,669.5
O-Sc,671.4
Al-F,675
F-Y,685.3
O-Tb,694
Nd-O,703
Cm-O,710
C-S,713.3
O-Y,714.1
Gd-O,715
O-W,720
Nb-O,726.5
Np-O,731
B-F,732
O-Pr,740
C-N,750
O-U,755
O-Zr,766.1
Ce-O,790
O-Pa,792
Ac-O,794
La-O,798
O-Si,799.6
Hf-O,801
B-O,809
O-Ta,839
O-Th,877
N-N,944.84
C-O,1076.38
