"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Ag2CuYF6","Ag","Cu","Y","F","0.8603956638213934","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2CuYCl6","Ag","Cu","Y","Cl","0.8323656967110216","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2CuYI6","Ag","Cu","Y","I","0.8161630509217861","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2CuYBr6","Ag","Cu","Y","Br","0.8255949445205095","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.73","1.191","0.325","0.312","1.9","118.4","7.72638","7","8","0.9","1.693","0.646","0.865","1.22","29.6","20.52","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2PdAgF6","Ag","Pd","Ag","F","0.9227743494484446","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2PdAgCl6","Ag","Pd","Ag","Cl","0.8810322394622708","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2PdAgI6","Ag","Pd","Ag","I","0.8573977695223644","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2PdAgBr6","Ag","Pd","Ag","Br","0.8711125365187886","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.75","1.286","0.462","0.536","1.93","125.6","34.83","10","11","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2PdCrF6","Ag","Pd","Cr","F","0.9550057950307317","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.615","1.453","0.416","0.0","1.66","64.3","30.96","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2PdCrCl6","Ag","Pd","Cr","Cl","0.9056828824316815","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.59","0.0","0.497","0.567","2.2","53.7","8.3369","10","11","0.615","1.453","0.416","0.0","1.66","64.3","30.96","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
