"formula","A","B1","B2","X","tolerance_factor","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Ag2AgCuF6","Ag","Ag","Cu","F","0.8239056691503969","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.54","1.191","0.325","0.312","1.9","118.4","36.841","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgCuCl6","Ag","Ag","Cu","Cl","0.803294100686188","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.54","1.191","0.325","0.312","1.9","118.4","36.841","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgCuI6","Ag","Ag","Cu","I","0.7912320252505419","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.54","1.191","0.325","0.312","1.9","118.4","36.841","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgCuBr6","Ag","Ag","Cu","Br","0.7982668888656494","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.54","1.191","0.325","0.312","1.9","118.4","36.841","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgFeF6","Ag","Ag","Fe","F","0.8220706899317991","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.55","1.227","0.373","0.365","1.83","15.7","30.652","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgFeCl6","Ag","Ag","Fe","Cl","0.8018201665564887","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.55","1.227","0.373","0.365","1.83","15.7","30.652","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgFeI6","Ag","Ag","Fe","I","0.7899619898970097","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.55","1.227","0.373","0.365","1.83","15.7","30.652","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgFeBr6","Ag","Ag","Fe","Br","0.796878598624144","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.55","1.227","0.373","0.365","1.83","15.7","30.652","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgGaF6","Ag","Ag","Ga","F","0.8094511837267057","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgGaCl6","Ag","Ag","Ga","Cl","0.7916521571979825","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgGaI6","Ag","Ag","Ga","I","0.7811846344537096","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgGaBr6","Ag","Ag","Ga","Br","0.7872941481252281","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.62","0.96","0.298","0.276","1.81","28.9","30.71","8","9","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgInF6","Ag","Ag","In","F","0.778712531180122","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgInCl6","Ag","Ag","In","Cl","0.7666526153917305","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgInI6","Ag","Ag","In","I","0.75948506127444","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgInBr6","Ag","Ag","In","Br","0.7636753236814713","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.8","1.093","1.382","0.483","1.78","28.9","28.03","11","12","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Ag2AgMnF6","Ag","Ag","Mn","F","0.8166144685384465","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","1.278","0.392","0.389","1.55","0.0","33.668","7","8","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"Ag2AgMnCl6","Ag","Ag","Mn","Cl","0.7974306400972377","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","1.278","0.392","0.389","1.55","0.0","33.668","7","8","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Ag2AgMnI6","Ag","Ag","Mn","I","0.7861762295620401","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","1.278","0.392","0.389","1.55","0.0","33.668","7","8","2.2","0.876","1.044","0.406","2.66","295.2","10.45126","12","11"
"Ag2AgMnBr6","Ag","Ag","Mn","Br","0.7927425505343995","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","1.28","1.286","0.462","0.536","1.93","125.6","7.5762","10","11","0.58","1.278","0.392","0.389","1.55","0.0","33.668","7","8","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
