"formula","A","B1","B2","X","tolerance_factor","Eg","irA","rsA","rpA","rdA","XcA","eaA","ipA","hoalA","lualA","irB1","rsB1","rpB1","rdB1","XcB1","eaB1","ipB1","hoalB1","lualB1","irB2","rsB2","rpB2","rdB2","XcB2","eaB2","ipB2","hoalB2","lualB2","irX","rsX","rpX","rdX","XcX","eaX","ipX","hoalX","lualX"
"Cs2PbI3","Cs","Pb","Pb","I","0.8510311702776147","1.73","1.88","0.922","2.518","0.0","0.79","45.5","3.8939","12","13","1.19","1.01","1.09","0.562","1.87","35.1","15.028","16","15","1.19","1.01","1.09","0.562","1.87","35.1","15.028","16","15","2.2","0.8759999999999999","1.044","0.406","2.66","295.2","10.45126","12","11"
"Cs2PbBr3","Cs","Pb","Pb","Br","0.8619968380178864","2.3","1.88","0.922","2.518","0.0","0.79","45.5","3.8939","12","13","1.19","1.01","1.09","0.562","1.87","35.1","15.028","16","15","1.19","1.01","1.09","0.562","1.87","35.1","15.028","16","15","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"Cs2VCl3","Cs","V","V","Cl","1.0035477009916771","0.4835","1.88","0.922","2.518","0.0","0.79","45.5","3.8939","12","13","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","1.81","0.66","0.725","0.0","3.16","349.0","12.96764","6","5"
"Cs2VBr3","Cs","V","V","Br","0.9873781962750336","0.6528","1.88","0.922","2.518","0.0","0.79","45.5","3.8939","12","13","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","1.96","0.73","0.851","0.224","2.96","324.6","11.81381","9","8"
"K2MgF3","K","Mg","Mg","F","1.0244425073775834","6.9537","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.72","1.279","0.247","0.0","1.31","0.0","15.035","5","4","0.72","1.279","0.247","0.0","1.31","0.0","15.035","5","4","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"K2MnF3","K","Mn","Mn","F","0.9170773537659588","2.6633","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"K2MnF3","K","Mn","Mn","F","0.9170773537659588","2.6633","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","0.96","1.278","0.392","0.389","1.55","0.0","15.64","8","7","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"K2NiF3","K","Ni","Ni","F","1.0396570000614087","4.5488","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.69","1.139","0.339","0.325","1.91","112.0","18.168","8","7","0.69","1.139","0.339","0.325","1.91","112.0","18.168","8","7","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"K2VF3","K","V","V","F","0.9906165755302102","2.0744","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","0.79","1.453","0.416","0.4270000000000001","1.63","50.6","14.65","8","7","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
"K2ZnF3","K","Zn","Zn","F","1.01454451213722","3.6889","1.64","2.162","0.593","0.0","0.82","48.4","4.34066","6","7","0.74","1.065","0.311","0.293","1.65","17.964000000000006","17.964000000000006","8","7","0.74","1.065","0.311","0.293","1.65","17.964000000000006","17.964000000000006","8","7","1.33","0.396","0.36","0.0","3.98","328.0","17.42282","4","3"
